age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
35,Female,132038,3.49,35,19,5.85,2.39,0.42,8,8.56,2.66,9.68,6.25,65.01,89.03,1.82,0.73,0.17,0.3,0.62,0.1,1.45,15,187,2.54,6,0,464.42,0,6.31,10.0,5.73,20.1,7.34,4.69,7.18,82,5
37,Other,70051,0.98,27,6,8.84,0.91,1.4,1,4.98,6.07,8.5,7.57,67.12,69.21,0.08,0.31,0.09,0.6,0.9,0.57,1.32,12,345,1.13,5,0,64.42,3,6.75,2.9,7.52,32.74,6.14,5.11,6.22,66,2
39,Other,79481,0.77,6,3,7.13,1.13,4.83,7,6.28,6.95,5.89,6.29,73.01,62.18,2.65,0.17,0.24,0.5,0.65,0.6,3.39,18,92,5.99,9,1,384.59,1,4.61,3.5,6.42,25.08,8.85,3.25,5.75,93,7
58,Female,147948,1.78,12,10,8.9,0.01,3.68,3,5.09,3.46,10.0,7.74,24.28,68.94,1.92,0.88,0.26,0.66,0.31,0.92,6.85,26,160,2.86,7,1,1061.23,1,6.71,4.41,7.63,24.28,2.74,4.76,2.9,0,9
28,Female,65897,5.15,18,14,6.54,2.23,4.8,4,3.42,4.51,4.16,6.94,62.2,52.37,4.01,0.6,0.25,0.34,0.64,0.17,2.08,21,89,2.4,0,1,360.46,0,7.01,5.98,8.17,28.59,10.54,4.5,4.97,90,7
18,Male,48115,3.92,20,0,5.83,0.43,1.67,1,9.58,5.34,4.92,3.9,86.12,51.55,2.14,0.44,0.2,0.28,0.25,0.38,6.24,26,379,1.14,9,1,558.54,0,4.67,4.35,5.42,23.82,7.01,6.76,5.91,93,2
36,Male,73331,2.27,20,11,6.4,0.48,0.15,9,5.9,7.58,4.56,3.77,62.71,66.99,0.8,0.53,0.54,0.16,0.25,0.71,6.33,48,449,5.04,0,0,401.56,3,4.86,3.15,3.78,19.79,5.98,5.15,6.81,39,8
33,Female,58693,3.2,28,10,8.98,4.13,0.05,1,5.42,6.17,6.19,4.4,70.17,69.06,3.3,0.55,0.52,0.33,0.07,0.64,0.9,43,170,0.22,1,0,744.14,3,3.46,5.12,7.22,25.21,4.42,6.06,2.48,87,9
39,Male,66914,6.03,18,14,6.74,2.63,2.28,8,5.37,4.28,5.02,4.3,55.47,85.57,2.75,0.94,0.41,0.21,0.72,0.47,7.93,13,418,1.39,1,1,127.99,1,5.52,4.68,7.54,20.11,8.81,5.73,3.01,42,4
28,Other,62570,2.33,16,17,10.05,1.04,0.39,3,4.72,4.89,7.26,7.87,57.69,67.32,0.0,0.68,0.25,0.14,0.2,0.9,8.9,11,309,2.62,1,0,100.71,2,2.6,7.61,7.15,25.78,3.05,5.64,2.1,59,6
43,Female,16910,0.59,22,8,6.44,3.86,0.63,10,4.33,0.0,7.45,6.7,50.77,69.6,2.25,0.27,0.41,0.2,0.75,0.96,5.82,3,232,0.43,0,1,500.1,0,4.14,2.86,5.21,26.71,1.23,6.37,3.1,63,5
53,Male,124810,0.64,3,18,7.75,2.26,3.5,3,5.6,7.02,3.47,9.29,62.37,44.36,1.97,0.49,0.59,0.17,0.59,0.97,2.92,12,476,0.52,8,1,412.26,3,9.42,4.95,3.95,25.5,3.15,6.37,1.33,92,2
28,Female,8158,2.54,23,8,7.9,7.85,1.77,2,5.77,4.89,3.91,4.57,47.75,74.02,0.83,0.81,0.18,0.24,0.35,0.84,2.74,19,51,0.52,0,0,1051.73,2,5.21,5.61,5.4,15.57,5.13,2.19,3.57,10,8
28,Male,24209,6.1,31,3,8.75,0.81,0.64,6,9.72,4.6,4.04,4.91,74.17,58.72,4.32,0.81,0.06,0.15,0.54,0.25,4.53,16,184,1.18,7,1,7.19,2,6.17,3.15,5.72,24.94,8.42,5.7,5.44,37,5
40,Male,46804,8.4,7,2,4.75,1.88,1.38,6,5.13,8.47,7.3,4.73,45.27,72.73,6.25,0.28,0.28,0.64,0.92,0.14,6.21,5,80,4.55,8,0,175.37,2,4.07,5.01,1.84,35.83,11.91,5.43,2.26,25,9
50,Female,37667,4.04,15,18,7.37,0.45,1.01,3,7.86,8.86,9.6,4.67,85.51,86.98,4.16,0.74,0.49,0.36,0.83,0.5,6.2,25,30,6.95,10,1,553.23,1,2.93,4.12,6.13,22.85,8.05,3.46,4.75,23,1
53,Male,98604,2.8,9,24,9.15,1.42,2.82,8,4.32,7.19,8.83,6.37,89.35,67.85,0.74,0.56,0.07,0.44,0.45,0.39,3.25,39,481,3.47,3,0,401.18,0,6.47,2.72,3.43,22.62,5.07,3.44,0.97,58,9
41,Female,121555,3.82,18,10,6.18,2.81,1.79,3,4.58,5.88,5.99,0.32,49.58,76.84,2.25,0.74,0.37,0.78,0.29,0.84,2.94,38,394,1.08,9,0,68.31,1,6.33,5.01,5.11,26.11,5.88,3.37,3.82,98,10
42,Female,58915,2.66,22,8,4.64,0.51,0.58,9,3.15,9.85,6.21,2.99,73.09,50.38,1.41,0.29,0.29,0.41,0.34,0.58,2.02,5,493,2.34,9,1,612.03,3,9.44,3.97,6.44,25.13,4.19,0.42,2.82,7,2
27,Female,31642,2.35,24,8,5.79,0.6,5.76,4,9.21,3.34,2.8,7.12,60.16,82.33,1.92,0.58,0.14,0.56,0.46,0.48,2.94,20,0,0.69,5,0,106.77,1,3.42,7.45,6.13,26.23,4.51,5.5,2.17,44,6
23,Other,67384,1.06,4,7,4.72,1.84,1.68,2,5.98,10.0,4.26,6.49,60.03,59.56,0.0,0.77,0.48,0.57,0.72,0.8,3.96,24,242,1.59,6,0,867.84,1,5.16,7.24,3.65,21.79,3.07,2.99,3.37,9,8
47,Female,27326,1.08,30,4,8.63,2.92,1.7,7,7.84,6.58,4.45,3.19,72.54,56.95,0.0,0.33,0.12,0.32,0.7,0.47,4.93,9,18,3.13,0,0,152.05,3,4.48,6.78,6.95,22.69,1.56,6.6,2.72,65,10
36,Female,118266,5.85,4,6,6.78,2.7,0.75,2,5.03,4.73,6.09,7.51,68.65,47.96,2.98,0.4,0.39,0.62,0.51,0.33,1.09,25,238,0.87,3,1,673.1,0,3.52,4.24,6.22,30.53,12.19,4.79,3.98,87,5
24,Female,122862,4.69,13,10,6.41,0.46,2.46,1,3.7,4.7,7.07,10.0,64.83,70.01,2.5,0.76,0.08,0.38,0.2,0.94,4.14,24,497,1.05,1,1,15.72,1,4.64,1.69,7.98,22.82,10.03,4.96,2.8,24,3
40,Male,56659,5.96,23,24,7.39,2.33,2.4,3,6.89,6.82,9.98,8.36,76.73,70.3,3.86,0.42,0.04,0.63,0.18,0.76,5.42,4,296,1.2,1,1,101.05,1,4.91,5.5,3.7,19.03,6.04,5.19,6.1,3,3
56,Male,90445,7.35,8,0,8.49,0.28,0.95,5,3.29,6.67,4.16,2.75,66.36,67.94,5.71,0.14,0.17,0.26,0.45,0.17,2.52,20,399,2.34,2,1,46.99,2,6.89,2.6,4.42,23.53,12.09,5.73,5.76,6,10
37,Female,10798,5.03,38,24,7.14,7.43,0.24,2,6.8,5.26,8.94,6.77,78.22,43.18,2.7,0.26,0.21,0.53,0.67,0.52,26.63,28,102,1.16,7,1,1498.17,3,9.18,4.9,4.56,22.49,8.99,3.02,4.72,9,10
21,Male,129762,3.38,9,4,6.8,0.43,0.51,1,7.88,6.61,9.44,4.88,60.76,88.68,2.59,0.82,0.3,0.31,0.71,0.27,4.31,28,182,1.3,10,1,172.04,3,1.61,4.85,7.49,23.79,11.31,4.46,3.08,30,9
36,Female,6930,2.36,5,19,7.99,0.89,1.64,5,4.69,9.9,5.6,6.83,67.2,69.42,3.32,0.24,0.35,0.34,0.87,0.69,11.86,4,350,4.0,5,1,96.82,2,2.18,5.58,5.18,22.85,6.13,3.33,6.99,60,2
57,Female,18693,1.27,39,21,7.13,0.33,1.67,6,5.56,8.67,5.45,5.61,61.41,17.6,0.66,0.44,0.58,0.62,0.39,0.53,4.02,33,146,0.46,2,1,570.02,3,1.53,3.74,7.43,23.99,2.69,2.28,4.46,60,6
51,Female,13057,5.43,10,4,4.98,1.31,2.65,1,4.8,2.87,3.89,3.35,64.12,80.69,5.79,0.83,0.37,0.14,0.32,0.96,0.29,25,74,2.89,3,1,777.15,3,7.3,4.01,7.46,21.55,12.2,3.91,8.38,19,9
41,Male,141985,2.17,19,15,8.28,0.26,0.55,2,2.91,6.23,7.5,4.62,77.54,41.86,0.0,0.17,0.54,0.28,0.61,0.4,2.11,4,260,0.77,0,1,74.44,2,2.29,3.46,5.54,20.43,8.65,6.03,3.39,0,10
19,Male,99367,2.85,11,12,5.87,1.69,1.76,7,7.56,1.82,7.72,6.51,83.56,71.3,1.84,0.64,0.17,0.68,0.63,0.67,0.99,17,78,3.9,8,1,1525.99,2,7.58,6.12,3.46,22.94,4.32,4.07,5.49,53,8
49,Male,123378,1.84,13,21,8.83,0.54,0.5,10,6.67,3.87,6.18,7.4,66.42,81.1,1.62,0.59,0.2,0.44,0.33,0.55,2.0,36,337,3.78,2,1,324.22,0,6.66,6.94,8.21,21.43,4.68,4.43,2.68,75,6
30,Male,57551,0.74,36,0,9.73,0.1,2.21,4,4.75,7.4,4.02,6.92,57.77,59.35,0.52,0.52,0.29,0.45,0.51,0.84,4.91,31,329,1.44,10,1,173.8,2,5.25,7.82,8.38,24.66,6.65,4.01,1.7,9,3
35,Female,117346,8.56,21,20,4.89,4.81,1.46,1,3.56,9.04,2.48,6.66,91.56,49.49,7.22,0.26,0.37,0.05,0.82,0.43,11.69,5,103,2.64,3,1,149.25,0,4.44,1.08,4.51,18.08,9.58,4.98,3.43,92,3
50,Male,92429,2.78,37,22,6.76,0.36,0.71,3,0.8,4.17,8.08,2.62,71.41,78.81,2.49,0.57,0.2,0.88,0.5,0.4,5.67,11,4,3.22,8,1,154.15,1,2.61,8.35,7.41,28.67,4.86,3.39,3.78,38,7
56,Other,97065,4.19,36,12,6.77,3.78,1.08,2,4.09,5.02,5.66,2.26,74.61,71.93,2.81,0.31,0.12,0.24,0.46,0.48,10.3,21,19,0.35,7,0,317.37,2,0.37,2.92,6.64,26.55,7.7,5.68,3.51,44,8
59,Other,51665,3.66,36,1,5.41,0.46,2.15,9,2.54,6.19,7.76,6.17,95.98,49.36,0.48,0.84,0.18,0.21,0.94,0.16,3.63,8,16,2.91,10,0,529.12,3,7.52,7.77,4.8,27.38,4.58,5.37,2.36,63,6
47,Female,9729,2.58,9,20,5.87,0.28,1.96,4,2.42,4.57,4.74,3.31,59.88,89.27,2.83,0.71,0.26,0.48,0.48,0.22,4.82,38,36,1.67,0,0,429.94,2,2.98,3.05,7.46,21.58,11.54,3.17,2.86,22,1
55,Male,119209,0.7,31,2,5.63,4.17,1.35,9,6.82,3.53,9.47,9.05,100.0,80.99,1.08,0.37,0.49,0.2,0.27,0.69,9.63,10,12,1.03,8,0,311.37,3,6.07,4.47,5.83,22.73,6.22,6.27,3.97,0,3
32,Male,133827,3.17,36,6,6.35,1.01,7.84,2,5.28,0.83,6.95,7.56,56.4,77.15,2.68,0.67,0.4,0.45,0.82,0.84,7.71,5,491,1.83,3,0,702.98,2,1.61,3.78,5.58,23.25,5.65,6.71,2.24,35,1
18,Female,26463,6.54,9,5,10.17,1.94,0.18,5,1.74,7.34,6.98,5.13,58.51,70.2,4.74,0.59,0.25,0.1,0.64,0.52,15.76,32,224,4.22,1,0,321.52,1,2.67,4.8,7.05,22.99,7.22,0.81,3.95,48,3
48,Male,68832,4.02,5,20,5.63,0.37,1.08,6,4.74,6.01,6.79,3.63,52.61,58.16,3.25,0.84,0.31,0.08,0.36,0.75,2.72,16,317,0.97,7,1,102.57,3,5.13,8.39,2.71,20.81,5.42,9.52,2.61,28,3
37,Male,20930,4.67,33,7,7.38,0.3,1.8,9,6.16,6.7,7.12,4.38,66.8,66.46,2.86,0.42,0.5,0.42,0.45,0.62,5.3,41,277,1.17,10,1,650.5,0,4.08,1.88,3.24,30.59,6.11,5.75,6.0,28,5
26,Female,26645,3.44,11,10,6.78,2.52,0.11,1,1.77,2.74,9.76,5.22,75.0,62.8,3.46,0.66,0.43,0.42,0.17,0.72,3.93,31,498,0.89,3,0,949.41,3,5.77,7.17,7.59,25.56,3.81,4.8,4.25,94,7
48,Female,107449,1.6,20,16,6.66,5.73,0.17,3,4.26,5.44,6.59,7.93,90.66,85.01,1.05,0.42,0.16,0.64,0.14,0.57,11.36,15,162,1.35,9,1,268.85,2,2.67,5.22,6.62,26.32,3.41,5.6,4.52,2,1
32,Male,123163,2.41,31,10,6.68,1.03,1.4,2,6.76,2.62,6.78,6.85,78.48,89.71,2.28,0.16,0.39,0.53,0.51,0.37,3.44,36,479,8.18,6,0,725.48,0,6.86,6.85,5.4,28.69,3.2,4.68,3.67,11,6
39,Male,58067,0.87,28,0,5.46,0.34,1.72,4,7.37,5.04,7.86,9.76,58.61,85.48,0.0,0.81,0.61,0.15,0.35,0.63,2.81,14,142,0.84,9,1,2154.22,1,5.85,5.74,5.39,24.27,6.39,6.47,4.31,22,9
40,Male,124461,4.09,24,24,10.19,5.64,0.56,3,3.99,5.08,0.47,10.0,72.6,63.96,1.83,0.53,0.19,0.25,0.44,0.91,6.67,16,279,0.59,1,1,1077.69,1,5.02,6.65,5.88,20.4,7.29,4.42,8.77,19,5
26,Female,76055,2.6,6,18,9.05,0.61,0.92,10,6.38,5.26,4.27,3.08,71.33,80.59,3.14,0.64,0.17,0.48,0.88,0.36,7.68,32,426,1.4,0,0,192.29,3,1.98,1.86,6.64,21.55,4.34,4.23,5.72,11,5
26,Male,128745,2.97,25,6,7.62,0.95,10.14,3,10.0,5.26,6.41,5.87,79.29,53.76,2.28,0.47,0.36,0.58,0.54,0.11,6.55,47,393,1.35,8,0,556.04,2,5.89,4.47,5.68,18.2,5.31,7.77,4.42,30,9
28,Female,38944,0.53,19,15,7.49,1.08,0.34,6,6.96,2.98,1.01,6.84,86.16,68.07,0.37,0.46,0.33,0.29,0.67,0.68,2.4,47,296,1.78,2,1,197.42,1,7.05,2.72,4.77,26.61,6.14,6.73,5.51,89,7
30,Male,26126,3.42,15,14,8.35,3.87,2.26,10,2.43,4.65,3.53,5.51,100.0,89.8,2.71,0.56,0.35,0.32,0.18,0.42,4.6,20,498,1.28,1,0,451.37,3,1.01,5.74,7.59,22.92,7.36,8.78,0.05,70,2
36,Female,98701,2.45,8,2,6.84,4.76,0.9,10,7.01,4.04,7.54,8.87,63.03,97.6,1.99,0.68,0.79,0.62,0.47,0.84,5.93,29,399,0.37,5,0,80.31,1,2.8,3.42,7.72,21.81,7.47,3.71,2.33,93,10
27,Female,81015,2.75,34,16,7.93,0.52,0.89,6,5.27,2.35,3.71,5.83,68.14,51.24,1.41,0.46,0.62,0.08,0.29,0.62,4.57,17,251,3.53,10,0,139.22,0,4.19,1.67,5.94,21.73,5.26,5.87,2.23,79,4
57,Male,25040,5.91,22,7,8.26,0.63,1.31,6,4.52,3.41,8.71,6.6,76.79,63.41,3.6,0.4,0.3,0.12,0.43,0.45,2.77,28,91,2.11,1,0,848.75,2,3.12,5.84,9.06,15.87,6.91,6.72,2.3,58,7
42,Female,130614,3.03,6,23,9.66,1.79,0.3,8,3.45,4.39,5.32,6.91,63.13,57.25,2.54,0.39,0.19,0.39,0.3,0.77,3.55,16,258,1.1,1,1,233.48,3,9.42,5.76,4.65,22.3,4.88,2.85,7.59,14,7
39,Female,94536,1.64,32,17,7.27,2.43,0.15,6,9.17,3.41,7.81,4.97,69.01,90.56,1.52,0.85,0.3,0.23,0.44,0.62,3.84,28,447,1.65,8,1,681.66,1,2.75,3.53,7.93,25.7,2.35,3.29,0.8,6,5
45,Female,11029,2.44,12,7,5.37,6.66,0.36,8,4.25,7.07,3.11,4.09,90.06,53.97,0.73,0.69,0.33,0.5,0.62,0.71,7.68,44,169,2.61,8,1,999.72,3,4.7,6.27,7.49,20.08,5.21,4.85,3.25,55,3
56,Male,128684,4.82,9,7,6.32,1.63,2.54,2,7.25,4.56,6.19,6.2,70.23,74.65,3.24,0.79,0.18,0.2,0.49,0.66,1.76,24,155,3.2,8,0,177.64,1,4.53,4.46,7.33,18.62,6.21,4.14,1.46,79,1
32,Male,66393,2.43,34,3,5.78,0.34,1.3,2,2.92,8.79,8.98,4.69,72.4,67.54,1.79,0.55,0.16,0.16,0.84,0.98,0.67,49,492,2.45,9,0,664.49,1,9.1,7.47,6.58,26.51,10.37,6.93,0.68,77,8
52,Male,141750,0.72,7,16,6.28,0.35,0.19,3,4.33,6.96,2.86,7.19,75.63,54.11,0.43,0.95,0.31,0.32,0.53,0.17,5.83,9,338,1.27,9,1,93.66,2,4.46,3.14,2.8,24.83,4.78,1.81,7.3,74,2
41,Male,98857,1.11,29,11,6.98,5.43,0.77,6,6.87,2.44,8.01,7.19,78.64,100.0,1.34,0.42,0.39,0.4,0.63,0.22,10.43,48,71,0.47,0,1,571.78,0,1.93,5.34,6.4,22.42,9.28,4.79,6.03,95,4
42,Female,119512,3.87,5,13,8.49,3.06,0.61,4,5.99,0.27,7.63,9.73,67.36,60.91,2.34,0.41,0.89,0.53,0.46,0.31,6.07,46,467,2.29,1,0,195.44,0,4.75,4.35,9.12,22.22,6.57,7.01,7.43,15,4
45,Female,19229,13.67,4,9,6.53,4.84,0.35,6,4.07,5.9,6.62,5.23,73.45,76.66,9.24,0.51,0.46,0.33,0.75,0.36,4.93,24,351,1.59,4,1,8.0,1,2.51,2.63,9.08,28.16,16.45,1.05,7.06,55,6
51,Male,23136,5.06,18,2,8.4,0.19,0.67,3,7.06,9.41,3.58,7.19,78.01,77.19,3.68,0.21,0.24,0.64,0.26,0.71,8.79,48,361,2.59,5,1,962.47,2,3.28,4.15,6.91,23.42,7.12,0.79,6.72,89,1
57,Male,128624,3.44,24,13,7.53,3.37,1.83,7,9.29,6.09,4.04,6.33,70.37,70.51,2.48,0.81,0.26,0.16,0.32,0.59,2.09,6,228,1.19,5,0,160.78,1,1.51,2.93,7.93,20.44,5.91,4.71,3.18,43,2
48,Male,124431,1.27,18,12,7.91,2.47,4.37,1,4.37,0.0,7.72,3.8,67.92,65.43,0.62,0.06,0.2,0.49,0.5,0.53,7.61,16,183,5.12,3,1,268.26,3,2.97,8.55,5.6,21.76,10.18,4.34,2.23,46,8
25,Female,82730,1.17,9,5,6.25,0.56,0.19,2,4.77,5.55,6.18,5.29,47.85,84.68,0.09,0.39,0.07,0.18,0.27,0.19,0.86,49,33,1.48,9,0,1043.08,3,5.98,7.7,3.55,23.67,6.1,2.65,1.08,31,7
39,Male,43972,1.24,16,12,7.49,1.67,2.06,3,7.24,8.53,5.68,7.04,42.55,48.94,1.1,0.72,0.34,0.26,0.62,0.32,4.16,45,1,1.19,9,0,1174.04,0,6.18,4.79,8.34,18.81,3.68,4.95,5.32,53,6
19,Female,112844,2.21,29,12,8.63,2.79,1.89,6,6.66,6.58,6.37,7.25,100.0,59.69,0.59,0.15,0.24,0.59,0.83,0.8,4.28,20,397,2.01,5,1,534.32,1,6.02,1.62,4.76,21.49,3.31,2.65,0.74,75,7
20,Other,73232,5.7,10,8,6.5,0.13,1.29,3,1.39,7.78,4.41,4.85,56.36,42.17,4.22,0.65,0.34,0.4,0.2,0.8,13.38,13,311,1.2,8,1,290.75,0,6.15,4.27,7.04,23.35,15.77,3.28,2.9,76,2
49,Female,41820,2.92,20,20,6.6,3.01,3.22,9,3.52,4.45,6.78,3.65,79.8,63.89,2.86,0.29,0.06,0.03,0.52,0.55,2.56,48,199,1.28,2,1,39.1,3,8.02,7.93,10.0,25.68,6.86,3.78,4.92,83,8
26,Male,143720,1.12,12,1,7.91,1.58,1.46,1,7.15,7.19,7.39,4.81,61.79,84.21,0.37,0.57,0.18,0.31,0.83,0.33,1.2,4,300,0.3,4,1,692.42,1,2.11,6.19,2.28,19.9,5.33,6.02,1.34,37,8
24,Male,96056,5.67,13,8,7.3,4.99,7.13,5,3.58,5.85,4.78,9.8,70.84,75.88,5.35,0.86,0.23,0.71,0.27,0.37,5.75,33,454,0.99,9,1,83.58,1,3.48,8.26,8.62,25.28,9.02,5.6,2.69,65,9
48,Female,96004,2.36,12,20,5.08,7.82,3.58,5,5.43,2.91,6.11,5.61,40.33,64.0,0.34,0.41,0.11,0.86,0.44,0.47,12.16,24,83,1.66,1,1,261.6,0,5.08,6.97,7.48,23.85,6.97,4.42,4.84,0,2
46,Male,146303,3.62,37,23,7.52,1.01,5.02,5,9.98,4.0,8.0,7.05,55.21,54.5,2.61,0.46,0.48,0.67,0.3,0.64,2.85,44,294,2.44,1,0,26.26,0,2.68,5.09,7.75,25.58,8.84,4.28,6.2,74,3
36,Female,64671,5.47,11,15,9.89,0.56,5.33,5,4.17,1.92,6.23,9.21,48.89,55.64,4.63,0.17,0.5,0.13,0.24,0.62,13.12,36,200,2.1,4,1,10.11,1,7.97,6.72,6.59,26.68,7.64,5.18,5.3,74,9
27,Female,113365,0.56,5,15,8.88,0.12,1.29,4,5.98,2.79,7.54,3.54,51.27,80.96,1.09,0.73,0.27,0.28,0.24,0.38,7.67,33,182,3.47,6,0,688.52,1,1.67,9.35,8.27,20.84,8.42,5.39,0.99,39,9
43,Male,26431,4.55,22,13,6.02,4.71,5.17,2,7.59,5.27,5.52,4.07,74.73,67.02,3.0,0.53,0.3,0.42,0.69,0.13,7.14,27,155,0.8,4,1,20.58,3,2.61,5.26,6.74,20.72,7.42,5.66,7.19,9,4
41,Male,65825,0.92,31,0,4.79,2.42,2.68,9,5.07,3.12,5.03,6.78,90.38,63.97,0.0,0.62,0.03,0.08,0.93,0.24,1.97,22,324,3.33,0,1,231.92,2,7.23,6.07,5.82,21.71,3.72,2.59,1.48,24,4
41,Female,148270,1.05,32,11,3.43,0.44,0.45,7,2.97,4.63,7.07,7.43,51.69,97.98,0.0,0.46,0.38,0.37,0.18,0.53,5.33,30,108,1.21,9,0,399.08,2,5.61,0.39,6.38,23.53,8.21,0.49,1.08,8,1
34,Female,30913,7.38,37,23,6.41,1.31,0.89,2,4.52,7.37,7.3,6.35,80.38,69.45,5.55,0.33,0.39,0.18,0.79,0.23,7.29,26,272,2.35,9,1,39.42,2,7.74,2.16,5.79,21.05,12.28,4.74,5.24,65,9
33,Male,20921,5.06,38,16,6.98,1.85,1.35,10,2.07,3.79,7.81,7.26,81.89,85.84,4.46,0.5,0.17,0.56,0.31,0.76,3.2,5,140,2.71,1,0,179.64,0,2.85,4.89,5.77,27.16,6.42,3.3,3.73,39,10
23,Male,128992,1.21,9,12,5.79,3.85,2.56,8,6.32,4.19,7.75,1.5,75.84,81.34,0.96,0.18,0.2,0.45,0.29,0.77,3.58,35,317,0.12,2,0,1892.16,3,2.58,5.44,6.39,20.88,3.13,6.95,4.47,10,1
54,Male,121345,3.7,32,5,7.07,0.3,7.11,3,5.6,2.36,4.47,2.98,89.37,85.16,3.46,0.64,0.21,0.64,0.09,0.31,7.88,27,277,1.01,7,0,328.2,3,3.15,8.14,3.64,28.41,7.96,3.32,6.54,67,9
56,Male,20942,4.91,12,11,8.23,0.08,4.39,7,5.01,9.23,5.8,4.51,82.75,58.33,3.88,0.36,0.21,0.17,0.14,0.45,3.53,18,89,1.36,1,1,1786.05,2,5.72,6.18,4.72,23.69,6.48,7.02,1.6,21,10
33,Male,81063,6.1,12,16,8.74,6.66,0.53,6,4.05,3.67,7.02,7.33,58.72,72.87,4.44,0.56,0.26,0.49,0.86,0.77,6.78,3,160,2.09,7,1,107.79,3,3.34,2.2,4.79,17.39,9.15,4.77,0.04,88,1
47,Male,77425,3.3,32,22,6.74,2.52,1.48,2,5.47,6.54,2.93,3.8,68.68,75.58,3.75,0.52,0.62,0.51,0.17,0.48,8.96,24,411,2.7,5,0,446.49,3,4.56,3.91,6.76,19.53,6.61,2.15,5.47,62,10
32,Female,97274,5.9,26,1,9.28,1.43,3.29,5,5.93,3.15,6.65,4.07,61.92,60.15,3.89,0.83,0.3,0.63,0.6,0.36,8.27,41,94,0.98,7,0,2251.53,3,2.06,5.28,5.63,20.55,6.88,8.3,5.18,53,3
24,Female,6632,0.83,15,6,7.14,5.0,1.01,6,7.75,6.25,4.03,4.38,84.85,67.5,0.0,0.71,0.27,0.6,0.55,0.24,4.64,6,281,1.13,1,1,670.45,3,6.38,7.12,5.59,22.05,2.65,7.05,3.88,64,1
18,Female,73202,3.69,4,6,7.5,1.7,1.39,4,5.4,8.78,4.81,7.26,64.91,53.97,3.14,0.4,0.24,0.13,0.66,0.59,14.23,42,32,1.4,6,0,496.53,0,3.74,4.19,5.11,26.59,10.19,3.61,2.46,43,4
54,Female,149462,4.41,20,0,8.45,0.93,0.81,5,7.75,5.51,2.9,5.19,60.46,86.71,3.99,0.67,0.05,0.26,0.73,0.65,4.52,24,482,0.19,4,1,659.7,3,3.41,6.25,5.91,28.07,11.07,2.83,1.84,86,3
33,Female,47736,1.72,30,19,6.76,9.94,1.85,3,1.04,5.4,4.5,4.8,77.09,78.34,0.1,0.19,0.21,0.81,0.17,0.42,0.78,5,55,1.79,5,1,454.35,3,5.72,2.99,5.4,17.61,2.95,7.39,4.18,4,1
43,Male,100466,0.74,31,22,6.49,0.45,1.89,5,6.95,3.1,6.86,9.52,79.87,72.72,0.0,0.71,0.51,0.3,0.52,0.43,1.57,48,366,1.35,0,0,3.85,3,5.2,5.32,4.35,21.15,6.64,6.56,0.88,38,4
33,Male,86977,4.54,27,12,5.87,3.76,0.09,7,5.21,8.8,6.46,6.36,58.31,98.44,3.57,0.89,0.22,0.38,0.31,0.8,1.55,13,20,1.19,10,0,638.85,3,4.95,2.56,5.22,18.4,9.54,4.77,5.59,49,1
37,Female,95031,2.56,34,5,7.32,1.63,0.95,7,6.77,2.1,7.61,6.62,37.75,73.3,0.31,0.15,0.36,0.3,0.23,0.43,8.52,12,229,0.54,8,1,265.69,2,2.83,6.71,7.39,23.65,6.01,4.85,6.58,26,3
53,Female,44761,6.52,18,18,3.84,2.34,3.31,8,0.0,3.64,3.62,6.4,63.66,92.91,3.98,0.46,0.25,0.06,0.74,0.27,10.28,31,217,0.72,0,1,1059.65,0,3.49,3.26,6.77,21.6,9.83,6.24,4.82,70,9
49,Male,95226,5.77,12,5,6.24,0.32,0.74,3,4.9,1.3,10.0,9.57,75.14,78.75,3.98,0.91,0.13,0.69,0.4,0.7,5.27,15,53,0.88,10,1,1.31,1,3.15,4.13,8.56,26.6,9.32,5.18,1.11,22,3
46,Male,138018,4.62,10,12,5.69,5.56,3.94,4,4.22,6.63,4.22,1.62,74.55,67.98,2.78,0.75,0.38,0.61,0.68,0.76,11.73,14,95,0.22,9,0,53.31,2,4.63,4.48,6.36,21.04,5.67,7.07,6.05,16,6
24,Male,136459,3.97,38,11,8.16,2.86,0.56,7,0.7,6.65,7.46,7.08,57.65,93.43,1.62,0.65,0.2,0.88,0.71,0.27,6.41,19,390,7.27,1,1,143.54,1,5.13,3.76,4.65,29.92,7.26,2.92,5.64,30,10
55,Male,120750,2.17,24,12,4.09,5.38,0.59,3,5.21,1.34,3.98,5.47,61.3,70.64,0.92,0.7,0.24,0.66,0.36,0.76,4.42,7,8,0.51,6,0,33.09,0,2.29,6.49,3.17,29.3,4.19,2.38,3.78,38,9
